# Source: https://github.com/bahar/WorldCityLocations
Cerrik, Albania	41.0316667 19.9758339
Shijak, Albania	41.3455556 19.5672226
Corovode, Albania	40.5041667 20.2272224
Librazhd-Qender, Albania	41.1969444 20.3355560
Tepelene, Albania	40.2958333 20.0191669
Gramsh, Albania	40.8697222 20.1844444
Bulqize, Albania	41.4916667 20.2219448
Kamez, Albania	41.3816667 19.7602787
Permet, Albania	40.2336111 20.3516674
Polican, Albania	40.6122222 20.0980549
Fushe-Kruje, Albania	41.4783333 19.7177773
Ballsh, Albania	40.5988889 19.7347221
Rreshen, Albania	41.7675000 19.8755550
Mamurras, Albania	41.5775000 19.6922226
Bajram Curri, Albania	42.3572222 20.0730553
Erseke, Albania	40.3377778 20.6788883
Peqin, Albania	41.0461111 19.7511120
Bilisht, Albania	40.6275000 20.9899998
Selenice, Albania	40.5305556 19.6358337
Roskovec, Albania	40.7375000 19.7022228
Puke, Albania	42.0444444 19.8997231
Rrogozhine, Albania	41.0763889 19.6652775
Vore, Albania	41.3908333 19.6550007
Memaliaj, Albania	40.3516667 19.9802780
Ura Vajgurore, Albania	40.7688889 19.8777771
Himare, Albania	40.1016667 19.7447224
Koplik, Albania	42.2136111 19.4363880
Perrenjas-Fshat, Albania	41.0666667 20.5352783
Delvine, Albania	39.9511111 20.0977783
Maliq, Albania	40.7058333 20.6997223
Libohove, Albania	40.0311111 20.2630558
Shengjin, Albania	41.8136111 19.5938892
Leskovik, Albania	40.1513889 20.5972214
Orikum, Albania	40.3252778 19.4713898
Kelcyre, Albania	40.3130556 20.1894436
Fushe-Arrez, Albania	42.0622222 20.0166664
Rubik, Albania	41.7744444 19.7861118
Milot, Albania	41.6838889 19.7155552
Kurbnesh, Albania	41.7797222 20.0836105
Konispol, Albania	39.6588889 20.1813889
Krrabe, Albania	41.2155556 19.9713898
Fierze, Albania	42.2647222 20.0269451
Klos, Albania	41.5069444 20.0866661
Kutreq, Albania	41.3966667 19.9616661
Collak, Albania	41.3152778 19.8661118
Ballaj, Albania	41.3222222 19.8802776
Kubes, Albania	41.4166667 19.8511105
Kurte, Albania	41.4930556 19.9972229
Melcize, Albania	41.3952778 19.8222218
Livadhet, Albania	41.4080556 19.9047222
Gurra e Vogel, Albania	41.2863889 19.8883324
Celiku, Albania	41.2761111 19.8522224
Kamere, Albania	41.4719444 19.9708328
Mal Pjec, Albania	41.4786111 19.9547215
Dallashi, Albania	41.2830556 19.8763885
Shejleret, Albania	41.3072222 19.8858337
Kokli, Albania	41.3091667 19.9286118
Shugyrk, Albania	41.4400000 19.9302769
Metaj, Albania	41.4933333 19.9052773
Marice, Albania	41.4216667 19.9591675
Panec, Albania	41.2847222 20.0063896
Balajt e Poshtem, Albania	41.4205556 20.1397228
Blishte, Albania	41.4430556 20.1466675
Shengjun, Albania	41.4891667 20.1375008
Rucaj, Albania	41.4661111 20.1555557
Kotaj, Albania	41.4333333 20.2008324
Peshk, Albania	41.4055556 20.1980553
Bize, Albania	41.3408333 20.1980553
Berberaj, Albania	41.3144444 20.2027779
Panjet, Albania	41.3208333 20.1561108
Ruc, Albania	41.3219444 20.1105556
Marice, Albania	41.4380556 20.0222225
Xhyre, Albania	41.2869444 20.0283337
Vakumona i Siperme, Albania	41.2816667 20.0697231
Varros, Albania	41.3025000 20.0933342
Tejlumaj, Albania	41.4783333 20.0258331
Bic, Albania	41.2825000 20.1458340
Gjorkaj, Albania	41.2780556 20.1705551
Rinas, Albania	41.2861111 20.1661110
Ballgjin, Albania	41.3086111 20.1933327
Algiers, Algeria	36.7630556 3.0505557
Oran, Algeria	35.6911111 -0.6416667
Constantine, Algeria	36.3650000 6.6147223
Batna, Algeria	35.5559710 6.1741447
Bab Ezzouar, Algeria	36.7166667 3.1833334
Annaba, Algeria	36.9000000 7.7666669
Sidi Bel Abbes, Algeria	35.1938889 -0.6413889
Ech Chettia, Algeria	36.1956637 1.2584496
Bejaia, Algeria	36.7500000 5.0833335
Skikda, Algeria	36.8791667 6.9066668
El Achir, Algeria	36.0666667 4.6305556
Medea, Algeria	36.2675000 2.7500000
Bechar, Algeria	31.6166667 -2.2166667
